,Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Python,R_studio,Spark,Excel,SQL
107,Financial Administrator,Fertility Clinic Americas,,"Cancún, QRoo.","$13,000 al mes",2022-05-02,"Gathering, analyzing, and interpreting relevant financial data.
 Fertility Clinic Americas is pleased to announce the vacancy for the position of a Financial…",0,0,13000,13000,13000.0,0, QRoo.,0,1,0,0,0
108,Analista de Investigación de Mercados,4S Real Estate,,"Puebla, Pue.","$12,000 - $14,000 al mes",2022-04-29,"Análisis y revisión de data capturada.
 Preparación de data para generación de reportes.
 Gestión de exceles por ciudad para levantamiento de campo.",0,0,12000,14000,13000.0,0, Pue.,0,1,0,1,0
109,Customer Service Analyst,PKC GROUP / Arneses & Accesorios,,"Juárez y Reforma, Chih.","$28,000 al mes",2022-04-24,"Strong Knowledge of Office usage, especially with MS Excel advanced user or expertise on data bases.
 To assure customer shipments on time, according to lead…",0,0,28000,28000,28000.0,0, Chih.,0,1,0,1,0
110,"Project manager TI - Data center, instalaciones eléctricas,...",Cgs reclutamiento,,"Naucalpan, Méx.","$20,000 al mes",2022-04-04,"Ingeniero industrial, eléctrico, en sistemas o afín.
 Experiencia y conocimiento en cableado y estructurado y tableros eléctricos.",0,0,20000,20000,20000.0,0, Méx.,0,1,0,0,0
111,Senior Developer,Sigue Corporation,3.6,Remoto,"$50,000 - $60,000 al mes",2022-04-24,"The LinkNet senior developer will be responsible for designing, coding, unit testing, debugging, documenting and supporting a high availability system, compound…",0,0,50000,60000,55000.0,0,Remoto,0,1,0,0,0
112,Full Stack Tech Lead,Aloware,,Remoto,"$81,789 al mes",2022-04-30,"The candidate must be able lead a team to implement innovative software design patterns, optimized SQL databases, and 3rd party API integrations.",0,0,81789,81789,81789.0,0,Remoto,0,1,0,0,1
113,ANALISTA DE PROCESOS BILINGÜE,REQUORDIT.MX,,"Benito Juárez, CDMX","$15,000 - $17,000 al mes",2022-04-30,"Scheduling meetings for the CloudOCR team.
 Analyze Data to implement enhancements.
 Communication channel to the BPO Coordinator.",0,0,15000,17000,16000.0,0, CDMX,0,1,0,0,0
114,Director Comercial Instalaciones de Automatización,Wurzel Group,,"Colonia Polanco, CDMX","$40,000 - $60,000 al mes",2022-04-30,"Control temperatura de data centers.
 Descripción: *Importante empresa de instalaciones de automatización y control en complejos industriales, corporativos,…",0,0,40000,60000,50000.0,0, CDMX,0,1,0,0,0
115,Becario de Big data,Corporativo Hotelero,,"Guadalajara, Jal.","$1,111 - $1,112 al mes",2022-04-28,"Aprende y sigue creciendo profesionalmente.
 Estudiante de mercadotecnia o afín (Últimos semestres).
 Disponibilidad mínima de 30hrs / semana (Mínimo).",0,0,1111,1112,1111.5,0, Jal.,0,1,0,0,0
116,Data Strategy Manager,Teleperformance,3.5,"Monterrey, N. L.+1 ubicación","$35,000 - $40,000 al mes",2022-04-04,"Responsible for identifying and proposing solutions for information for current business needs, developing strategic plans for the growth of BI and Descriptive…",0,0,35000,40000,37500.0,0, N. L.+1 ubicación,0,1,0,0,0
117,Customer service representative- Call Center,KenisIT,,"Remoto temporalmente in Guadalajara, Jal.","$15,000 - $18,000 al mes",2022-05-01,We are working with a Pharmacy Services company that offers competitive business value through its ability to service the specialty needs of pharmaceutical…,0,0,15000,18000,16500.0,0, Jal.,0,1,0,0,0
