,Title,Company,Company_Rating,Location,Salary,Date,Description
855,Parcel Sr. Product Manager,99minutos.com,1.9,"Miguel Hidalgo, CDMX",,Postedhace 11 días,"Build, maintain, and regularly communicate detailed reporting for other leaders across the company who will use your team's data to inform their own operations…"
856,"Sales Engineer, Enterprise",Snowflake,,Remoto,,Postedhace 30+ días,"Knowledge and experience within the data science, analytics, or big data markets.
 5+ years of relevant experience in a sales engineering or consulting role for…"
857,nuevo empleoSr QA Engineer,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,"Test Automation tools (Selenium, and/or other JavaScript-based frameworks)."
858,Internal Audit Centre of Excellence Manager,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 30+ días,"Ability to work with large amounts of data with the ability to interpret and summarise meaningfully.
 You will work with the GIA Offshore Centre of Excellence…"
859,nuevo empleoIndex Management Researcher,MSCI Inc,3.9,"Monterrey, N. L.",,PostedRecién publicado,"With over 50 years of expertise in research, data and technology, we power better investment decisions by enabling clients to understand and analyze key drivers…"
860,Ingeniero de Datos (remoto),Grupo Tress Internacional,3.7,"Monterrey, N. L.+2 ubicaciones",,EmployerActivo hace 2 días,"Identificar patrones relevantes en un conjunto de datos.
 Trabajar con herramientas analíticas para hacer análisis predictivo, prescriptivo, descriptivo y…"
861,Tax Analyst,Wipro Limited,3.8,"Tlaquepaque, Jal.","$20,000 al mes",EmployerActivo hace 3 días,"Expert in Excel - ability to deal with and manipulate large amounts of data.
 Regularly perform audits on data integrity and ensure resolution of discrepancies…"
862,R&D Manager System Test (Passive Safety and Sensorics),Continental,4.0,"Querétaro, Qro.",,Postedhace 21 días,"Ensures on time vehicle setup, test track rental and test / data collection execution from early development until final validation."
863,nuevo empleoSr. Performance Tester,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,We're looking for a Sr. Performance Engineer with knowledge on RESTful services testing through automated script using performance testing tools.
864,Desarrollador Web,Indra,3.7,"Naucalpan, Méx.","$25,000 - $33,000 al mes",EmployerActivo hace 7 días,"Spring, Spring boot, Spring Data.
 Desarrollo de RESTFUL Web Services.
 Desarrollo de aplicaciones web funcionales usando Angular."
865,Senior Engineer I,Mondelēz International,4.0,"Tlalnepantla, Méx.",,Postedhace 30+ días,"Using technical data to influence stakeholders.
 You will define what data needs to be collected to build the simulations and work with an internal analytical…"
866,Gerente Inteligencia Comercial,HQ_Talento,,"Monterrey, N. L.","$50,000 al mes",EmployerActivo hace 13 días,"Somos una empresa 100% mexicana con más de 25 años de experiencia en conectar el talento con las empresas.
 Ingresar a AIRA y contestar las preguntas y/o pruebas…"
867,nuevo empleoProduct Lifecycle Management Engineer,Sulzer,3.8,"Cuautitlán Izcalli, Méx.",,Postedhace 6 días,"Las siguientes funciones y responsabilidades están sujetas, pero no limitadas a:
 Punto de contacto único para los usuarios clave/finales de ingeniería dentro de…"
868,ADAS Computer Vision Algorithm Engineer Sr.,Continental,4.0,"Querétaro, Qro.",,Postedhace 19 días,"Utilize advanced data analysis techniques to provide insight and inspire future development.
 The ADAS Computer Vision Algorithm Engineer will be responsible for…"
869,Strategy Analytics Manager,Credijusto,5.0,Remoto,,Postedhace 30+ días,"Design and execute data driven analyses through internal and/or external data sources to come up with new, improved, policies that align with the company’s…"
870,nuevo empleoEspecialista en automatización de información logística,Bosch Group,4.1,"Cuautitlán Izcalli, Méx.",,Postedhace 6 días,They will use their experience and advanced level of knowledge to resolve issues the team faces regarding data and reporting.
871,nuevo empleoMarketing Excellence Advisor,PPG Industries,3.4,"Tultitlán, Méx.",,Postedhace 5 días,"Gathers, analyzes and surveys existing and potential market data studies from the agencies for promotion and distribution for an assigned region or product."
872,nuevo empleoFront End Mid,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,"We're looking for a Front end Middle, with strong knowledge about solving problems.
 3 years experience in application development."
873,Equipment Readiness Engineer (Down Hole Tools- Wireline),Schlumberger,4.0,"Villahermosa, Tab.",,Postedhace 30+ días,"Make sure work orders (WO) are issued and executed through the Computerized Maintenance Management System (CMMS) for the Division, ensuring compliance to…"
874,Programador Pro *C,NTT DATA,3.4,"Benito Juárez, CDMX",,Postedhace 12 días,"Experiencia en desarrollo en soluciones en ProC y VisualBasic.
 Sueldo con base a experiencia bajo esquema 100% nominal."
875,nuevo empleoSr. Cloud DBA,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,"+5 year experience as DBA.
 +1 experience with Cosmos DB.
 Get involved on helping start-up companies define and grow their development best practices."
876,Partner Account Manager-LATAM(Mexico),Acumatica,,Remoto,,Postedhace 9 días,"Maintain accurate data in CRM for reporting purposes.
 Built on the world’s best cloud and mobile technology and a unique customer-centric licensing model,…"
877,QA Engineer,,,"Ciudad Juárez, Chih.",,Postedhace 11 días,"Ability to present data effectively.
 Manage all quality-related issues within the manufacturing team (e.g. internal, supplier, customer and customer warranty)."
878,Service RMA Management,Samsung Electronics,4.0,"Tijuana, B.C.",,Postedhace 21 días,"[Parts master data and selling prices management] Design parts master data (service BOM (bill of materials), specifications change, parts price list) and…"
879,"Ingeniero Data Remoto (MongoDB, SQL, BigQuery, Stitch, ETL y...",Turing.com,,Remoto,,EmployerActivo hace 15 días,"Solo se considerarán candidatos con +3 años de experiencia en desarrollo de software para este puesto.*.
 El candidato seleccionado se encargará de aplicar los…"
880,Project Administrative,Gomez Vazquez International,,"Zapopan, Jal.",,EmployerActivo hace 3 días,"Effectively manage all project related data bases at all stages of every project (Excel sheets, Xero…).
 Generate a variety of reports: Cashflow, invoicing…"
881,nuevo empleoBack Office RAN Supervisor semi sr.,Iberica Industries,,"Tlalnepantla, Méx.",,Postedhace 4 días,"*Redes de fibra óptica Planta Interna y externa data centers *.
 5.- SEGUIMIENTO VÍA REMOTA CAMPO Y VALIDACIONES EN LÍNEA."
882,BUSINESS INTELLIGENCE ANALIST,Rockwell Automation,3.9,"Monterrey, N. L.",,Postedhace 30+ días,"Collaborate with BI Center of Excellence, owners of transactional data and master data to execute robust and detailed BI solutions."
883,nuevo empleoData Analyst,PF Hunters,,"Guadalajara, Jal.",,Postedhace 3 días,"Experience with data warehouse, MDM, and data integration initiatives.
 Strong knowledge of data modeling.
 Bachelor’s degree or Graduate degree, preferably in…"
884,nuevo empleoProcessor Trading Operations,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 6 días,"Licenciatura concluida en áreas Económico - Administrativas o similares.
 Manejo de Bases de Datos - Aplicación y Síntesis."
885,Gerente de Sistemas,BIOFLA,,"Guadalajara, Jal.",,EmployerActivo hace 5 días,"EXPERIENCIA EN PRODUCTOS DE LIMPIEZA E HIGIENE PERSONAL.
 Planear y dirigir todo el funcionamiento del área de sistemas de la compañía."
886,Data Analytics Specialist,Ball Corporation,3.6,"Querétaro, Qro.",,EmployerActivo hace 6 días,Develop logical and conceptual data flows that are in support of business requirements and guides appropriate and effective use of data;
887,nuevo empleoWorkday HCM Analyst,WPP IT,,"Remoto in Tijuana, B.C.",,PostedHoy,"Support data requests and maintenance including rescind, correct and EIBs.
 Maintain expertise on data standards/functionality/features/capabilities in Workday…"
888,Assistant Controller,MoXi – A Global Mortgage Company,,"11560, Colonia Polanco, CDMX",,Postedhace 11 días,"Assist with reconciliation of data in MX loan origination systems required for Audit.
 MoXi means “with high-energy, courageous spirit and determination.”."
889,Plant Procurement Manager,Schneider Electric,3.7,"Tlaxcala, Tlax.",,Postedhace 30+ días,"Contribute to the correct purchasing database maintenance via the regular and constant update of corresponding data.
 What do you get to do in this position?"
890,nuevo empleoIT Analyst Bilingual,Wagento,,Remoto temporalmente,,Postedhace 3 días,"Pull data for Scorecards and other reports.
 Wagento is looking for an It Analyst, who will work directly with our Director of Operations, in conjunction with…"
891,"Account Manager, Flight Partner Services - Mexico",Priceline.com,4.0,Remoto,,Postedhace 30+ días,"Analyze data to identify key issues, trends and opportunities.
 Strong analytical skills and the ability to turn data into action.
 Why this job’s a big deal:"
